Pool	Lu3_fc(%)	Lu4_fc(%)	type
0	5.74	10.8	pool
1	4.42	9.07	pool
2	4.93	9.54	pool
3	0.68	0.69	pool
4	3.76	7.63	pool
5	2.47	3.4	pool
6	0.7	0.8	pool
7	0.6	0.87	pool
8	0.76	0.69	pool
9	0.78	0.81	pool
10	0.66	0.77	pool
11	0.69	0.78	pool
0	5.47	10.2	pool
1	5.25	10.7	pool
2	5.14	9.62	pool
3	0.69	0.73	pool
4	4.36	7.66	pool
5	2.5	3.6	pool
6	0.72	0.78	pool
7	0.66	0.68	pool
8	0.78	0.73	pool
9	0.58	0.72	pool
10	0.74	0.8	pool
11	0.63	0.72	pool
0	5.59	10.3	pool
1	5.39	10.8	pool
2	4.54	10.7	pool
3	0.59	0.63	pool
4	3.75	8.14	pool
5	2.58	4.03	pool
6	0.82	0.78	pool
7	0.88	0.61	pool
8	0.66	0.69	pool
9	0.69	0.66	pool
10	0.77	0.75	pool
11	0.65	0.75	pool
unstim	0.52	0.54	control
unstim	0.55	0.66	control
unstim	0.75	0.36	control
peptivator	1.68	4.98	control
peptivator	1.67	5.52	control
peptivator	1.87	5.44	control
