Pool	TCR6_3_fc(%)	YLQ_TCR1_fc(%)	type
0	0.28	0.2	pool
1	0.32	0.23	pool
2	16.5	1.83	pool
3	8.17	2.14	pool
4	15.6	0.066	pool
5	16.4	1.54	pool
6	0.3	0.23	pool
7	0.29	0.26	pool
8	0.38	0.16	pool
9	0.37	0.45	pool
10	14.1	0.14	pool
11	0.47	1.94	pool
0	0.32	0.19	pool
1	0.17	0.19	pool
2	16.2	1.78	pool
3	8.04	1.88	pool
4	16.8	0.18	pool
5	17.1	1.39	pool
6	0.45	0.29	pool
7	0.4	0.21	pool
8	0.37	0.21	pool
9	0.32	0.38	pool
10	15.3	0.17	pool
11	0.42	1.8	pool
0	0.38	0.27	pool
1	0.49	0.19	pool
2	16.3	1.48	pool
3	7.84	1.59	pool
4	15.2	0.16	pool
5	17.6	1.28	pool
6	0.34	0.2	pool
7	0.42	0.21	pool
8	0.44	0.25	pool
9	0.25	0.5	pool
10	14.7	0.14	pool
11	0.29	1.91	pool
pept	24.8	19.4	control
pept	24.5	22.7	control
pept	27.3	20.7	control
allmix	10.8	0.54	control
allmix_5x	4.58	0.3	control
allmix_25x	2.06	0.25	control
unstim	0.57	0.42	control
unstim	0.66	0.41	control
unstim	0.56	0.37	control
PMA	66.9	93.2	control
PMA	68.6	94.4	control
PMA	67.8	93.9	control
